AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2005;1;amazonas;514853.0;120000.0;413.00744619634486;0.0008021851794518918;96.26222153422701
2005;2;amazonas;514853.0;125000.0;413.00744619634486;0.0008021851794518918;100.27314743148648
2005;3;amazonas;514853.0;129000.0;413.00744619634486;0.0008021851794518918;103.48188814929404
2005;4;amazonas;514853.0;141000.0;413.00744619634486;0.0008021851794518918;113.10811030271674
2005;1;antioquia;514853.0;120000.0;73922.53278607492;0.1435798816090708;17229.585793088496
2005;2;antioquia;514853.0;125000.0;73922.53278607492;0.1435798816090708;17947.485201133848
2005;3;antioquia;514853.0;129000.0;73922.53278607492;0.1435798816090708;18521.804727570132
2005;4;antioquia;514853.0;141000.0;73922.53278607492;0.1435798816090708;20244.76330687898
2005;1;arauca;514853.0;120000.0;5044.233001265349;0.00979742373311479;1175.690847973775
2005;2;arauca;514853.0;125000.0;5044.233001265349;0.00979742373311479;1224.6779666393488
2005;3;arauca;514853.0;129000.0;5044.233001265349;0.00979742373311479;1263.867661571808
2005;4;arauca;514853.0;141000.0;5044.233001265349;0.00979742373311479;1381.4367463691856
2005;1;atlántico;514853.0;120000.0;22121.967036274447;0.04296754031980866;5156.1048383770385
2005;2;atlántico;514853.0;125000.0;22121.967036274447;0.04296754031980866;5370.942539976082
2005;3;atlántico;514853.0;129000.0;22121.967036274447;0.04296754031980866;5542.812701255317
2005;4;atlántico;514853.0;141000.0;22121.967036274447;0.04296754031980866;6058.423185093021
2005;1;bogotá d.c.;514853.0;120000.0;135214.85999954457;0.2626280899587738;31515.370795052855
2005;2;bogotá d.c.;514853.0;125000.0;135214.85999954457;0.2626280899587738;32828.511244846726
2005;3;bogotá d.c.;514853.0;129000.0;135214.85999954457;0.2626280899587738;33879.02360468182
2005;4;bogotá d.c.;514853.0;141000.0;135214.85999954457;0.2626280899587738;37030.560684187105
2005;1;bolívar;514853.0;120000.0;18885.5224524476;0.036681387604709695;4401.766512565164
2005;2;bolívar;514853.0;125000.0;18885.5224524476;0.036681387604709695;4585.173450588712
2005;3;bolívar;514853.0;129000.0;18885.5224524476;0.036681387604709695;4731.89900100755
2005;4;bolívar;514853.0;141000.0;18885.5224524476;0.036681387604709695;5172.075652264067
2005;1;boyacá;514853.0;120000.0;13069.08114198407;0.025384102145630055;3046.092257475607
2005;2;boyacá;514853.0;125000.0;13069.08114198407;0.025384102145630055;3173.012768203757
